Full Name	Short Name
large subunit ribosomal RNA	16S
l-rRNA	16S
16S bibosomal RNA	16S
large ribosomal RNA subunit RNA	16S
rrnL	16S
16S ribosomal RNA subunit	16S
16S rivbosomal RNA	16S
l6S ribosomal RNA	16S
16S	16S
16S ribosamal RNA	16S
large ribosomal RNA	16S
16S rRNA	16S
16 S ribosomal RNA	16S
16S large subunit ribosomal RNA	16S
l-RNA	16S
16S-rRNA	16S
16Srrn	16S
16S ribosommal RNA	16S
16S ribosomal ribonucleic acid	16S
16S ribosomal RNA	16S
16S ribosome RNA	16S
16S recombinant RNA	16S
16S ribosomal RNA gene	16S
16S recombinant ribonucleic acid	16S
