Full Name	Short Name
NADH dehydrogenase subunit 1	ND1
NAD dehydrogenase subunit 1	ND1
NADH dehydrogenase subunit-1	ND1
NADH denydrogenase subunit 1	ND1
NADH dehydrogenase 1	ND1
NADH dehydrogenase subunits 1	ND1
NADH dehydogenase subunit 1	ND1
NADH dehydrogenase subunit1	ND1
NADH dehydrogenase subunit #1	ND1
Subunit 1 of the NADH ubiquinone oxidoreductase complex	ND1
NADHsubunit 1	ND1
NADH dehydrogenase subnit 1	ND1
ND1	ND1
NADH dehydrogenase subunit I	ND1
NADH1	ND1
NADH1 protein	ND1
NADH subunit 1	ND1
NADH-ubiquinone oxidoreductase chain 1	ND1
NADH dehydrogenase, subunit 1	ND1
NADH-ubiquinone oxidoreductase subunit I	ND1
NADH 1	ND1
NADH dehydrogenase subumit 1	ND1
NADH-ubiquinone oxidoreductase subunit 1	ND1
NADH ubiquinone oxidoreductase subunit 1	ND1
nicotinamide adenine dinucleotide dehydrogenase subunit 1	ND1
truncated NADH dehydrogenase subunit 1	ND1
NADH-1	ND1
NADH dehdrogenase subunit 1	ND1
NaD1	ND1
NADH dehydrogynase subunit 1	ND1
