Full Name	Short Name
NADH dehydrogenase subunit 4	ND4
NAD dehydrogenase subunit 4	ND4
NADH hehydrogenase subunit 4	ND4
NADH dehrogenase subunit 4	ND4
NADH dehydrogenase subunit-4	ND4
NADH denydrogenase subunit 4	ND4
NADH dehydrogenase 4	ND4
NADH dehydrogenase subunits 4	ND4
NADH dehydrosenase subunit 4	ND4
subunit 4 of the NADH ubiquinone oxidoreductase complex	ND4
NADH deydrogenase subunit 4	ND4
NADH dehydrogenase subnit 4	ND4
ND4	ND4
NADH dehyodrogenase subunit 4	ND4
NADH4	ND4
NADH dehydrogenase subunit4	ND4
NADH dehydrogenase subunit IV	ND4
NADH4 protein	ND4
NADH subunit 4	ND4
NADH dehydrogenase sunbunit 4	ND4
NADH-ubiquinone oxidoreductase chain 4	ND4
NADH-ubiquinone oxidoreductase subunit IV	ND4
NADH 4	ND4
NADH dehydrogenase subumit 4	ND4
NADH-ubiquinone oxidoreductase subunit 4	ND4
NADH ubiquinone oxidoreductase subunit 4	ND4
nicotinamide adenine dinucleotide dehydrogenase subunit 4	ND4
truncated NADH dehydrogenase subunit 4	ND4
