Full Name	Short Name
RNA polymerase beta' subunit	rpoC1
RNA polymerase beta	rpoC1
RpoC1	rpoC1
RNA polymerase beta' chain	rpoC1
RNA polymerase subunit beta'	rpoC1
RNA polymerase beta' subunit-1	rpoC1
RNA polymerase beta I subunit	rpoC1
RNA polymerase beta subunit-1	rpoC1
RNA polymerase subunit C1	rpoC1
RNApolymerasebeta	rpoC1
RNA polymerase b'subunit	rpoC1
rpoC1 protein	rpoC1
RNA polymerase beta' subunit 1	rpoC1
DNA-directed RNA polymerase subunit gamma	rpoC1
RpoC1; RNA polymerase beta' subunit	rpoC1
beta' subunit of RNA polymerase	rpoC1
RNA polymerase beta'	rpoC1
RNA polymerasebeta	rpoC1
DNA-directed RNA polymerase beta' protein	rpoC1
RNA polymerase b'-subunit-1	rpoC1
RNA polymerase beta I chain	rpoC1
RNA polymerase' beta subunit	rpoC1
RNA polymerase C	rpoC1
