Full Name	Short Name
ribosomal protein L23	rpl23
50S ribosomal protein L23	rpl23
60S ribosomal protein L23a	rpl23
chloroplast 50S ribosomal protein L23	rpl23
ribsomal protein L23	rpl23
large subunit ribosomal protein L23e	rpl23
large subunit ribosomal protein L23	rpl23
rpl23 protein	rpl23
rpl23	rpl23
Rpl23; ribosomal protein L23	rpl23
robpsomal protein L23	rpl23
ribosomal protein L23-like protein	rpl23
60S ribosomal protein L23	rpl23
protein L23	rpl23
50S ribosomal protein L23-A, chloroplastic	rpl23
