Full Name	Short Name
Ycf12	ycf12
hypothetical chloroplast RF12	ycf12
hypothetical chloroplast Ycf12	ycf12
conserved hypothetical protein Ycf12	ycf12
Ycf12 protein	ycf12
photosystem II reaction centre protein Ycf12	ycf12
photosystem II reaction center protein Ycf12	ycf12
conserved hypothetical chloroplast protein ycf12	ycf12
photosystem II complex Ycf12	ycf12
Ycf12; hypothetical chloroplast RF12	ycf12
hypothetical chloroplast protein Ycf12	ycf12
hypothetical protein Ycf12	ycf12
putative chloroplast RF12	ycf12
photosystem I assembly protein Ycf12	ycf12
hypothetical chloroplast ORF 12	ycf12
hypothetical protein RF12	ycf12
